"Cases" "Time" "Age" "No.Smoked" "Av.No.Smoked"
0 17846.5 "40-44" "0" 0
0 1216 "40-44" "1-4" 2.7
0 2041.5 "40-44" "5-9" 6.6
1 3795.5 "40-44" "10-14" 11.3
0 4824 "40-44" "15-19" 16
1 7046 "40-44" "20-24" 20.4
0 2523 "40-44" "25-29" 25.4
1 1715.5 "40-44" "30-34" 30.2
0 892.5 "40-44" "35-40" 38
0 15832.5 "45-49" "0" 0
0 1000.5 "45-49" "1-4" 2.7
0 1745 "45-49" "5-9" 6.6
1 3205 "45-49" "10-14" 11.3
1 3995 "45-49" "15-19" 16
1 6460.5 "45-49" "20-24" 20.4
2 2565.5 "45-49" "25-29" 25.4
2 2123 "45-49" "30-34" 30.2
0 1150 "45-49" "35-40" 38
1 12226 "50-54" "0" 0
0 853.5 "50-54" "1-4" 2.7
0 1562.5 "50-54" "5-9" 6.6
2 2727 "50-54" "10-14" 11.3
4 3278.5 "50-54" "15-19" 16
6 5583 "50-54" "20-24" 20.4
3 2620 "50-54" "25-29" 25.4
3 2226.5 "50-54" "30-34" 30.2
3 1281 "50-54" "35-40" 38
2 8905.5 "54-59" "0" 0
1 625 "54-59" "1-4" 2.7
0 1355 "54-59" "5-9" 6.6
1 2288 "54-59" "10-14" 11.3
0 2466.5 "54-59" "15-19" 16
8 4357.5 "54-59" "20-24" 20.4
5 2108.5 "54-59" "25-29" 25.4
6 1923 "54-59" "30-34" 30.2
4 1063 "54-59" "35-40" 38
0 6248 "60-64" "0" 0
1 509.5 "60-64" "1-4" 2.7
1 1068 "60-64" "5-9" 6.6
1 1714 "60-64" "10-14" 11.3
2 1829.5 "60-64" "15-19" 16
13 2863.5 "60-64" "20-24" 20.4
4 1508.5 "60-64" "25-29" 25.4
11 1362 "60-64" "30-34" 30.2
7 826 "60-64" "35-40" 38
0 4351 "65-69" "0" 0
0 392.5 "65-69" "1-4" 2.7
1 843.5 "65-69" "5-9" 6.6
2 1214 "65-69" "10-14" 11.3
2 1237 "65-69" "15-19" 16
12 1930 "65-69" "20-24" 20.4
5 974.5 "65-69" "25-29" 25.4
9 763.5 "65-69" "30-34" 30.2
9 515 "65-69" "35-40" 38
1 2723.5 "70-74" "0" 0
1 242 "70-74" "1-4" 2.7
2 696.5 "70-74" "5-9" 6.6
4 862 "70-74" "10-14" 11.3
4 683.5 "70-74" "15-19" 16
10 1055 "70-74" "20-24" 20.4
7 527 "70-74" "25-29" 25.4
2 317.5 "70-74" "30-34" 30.2
5 233 "70-74" "35-40" 38
2 1772 "75-79" "0" 0
0 208.5 "75-79" "1-4" 2.7
0 517.5 "75-79" "5-9" 6.6
4 547 "75-79" "10-14" 11.3
5 370.5 "75-79" "15-19" 16
7 512 "75-79" "20-24" 20.4
4 209.5 "75-79" "25-29" 25.4
2 130 "75-79" "30-34" 30.2
2 88.5 "75-79" "35-40" 38
