Group Practice Total Conforming
Intervention 1 20 20
Intervention 2 7 7
Intervention 3 16 15
Intervention 4 31 28
Intervention 5 20 18
Intervention 6 24 21
Intervention 7 7 6
Intervention 8 6 5
Intervention 9 30 25
Intervention 10 66 53
Intervention 11 5 4
Intervention 12 43 33
Intervention 13 43 32
Intervention 14 23 16
Intervention 15 64 44
Intervention 16 6 4
Intervention 17 18 10
Control 18 7 7
Control 19 37 33
Control 20 38 32
Control 21 28 23
Control 22 20 16
Control 23 19 15
Control 24 9 7
Control 25 25 19
Control 26 120 90
Control 27 88 64
Control 28 22 15
Control 29 76 52
Control 30 21 14
Control 31 126 83
Control 32 22 14
Control 33 34 21
Control 34 10 4
